Model,iemocap_emotion_test,meld_sentiment_test,meld_emotion_test
Qwen-Audio-Chat,29.382470119521916,44.90421455938697,50.72796934865901
MERaLiON-AudioLLM-Whisper-SEA-LION,48.505976095617534,46.206896551724135,36.36015325670498
hy_whisper_local_cs,,,
Qwen2-Audio-7B-Instruct,53.98406374501992,53.9463601532567,41.60919540229885
whisper_large_v3,,,
old_models,,,
cascade_whisper_large_v2_gemma2_9b_cpt_sea_lionv3_instruct,44.322709163346616,56.59003831417625,47.356321839080465
gemini-1.5-flash,,,
WavLLM_fairseq,59.76095617529881,51.072796934865906,41.57088122605364
SALMONN_7B,23.804780876494025,41.7624521072797,30.536398467432953
cascade_whisper_large_v3_llama_3_8b_instruct,46.713147410358566,45.593869731800766,36.81992337164751
