Model,voxceleb_accent_test,imda_ar_sentence,imda_ar_dialogue
Qwen-Audio-Chat,48.05088223225277,3.933333333333333,0.6666666666666667
MERaLiON-AudioLLM-Whisper-SEA-LION,47.01682396389003,7.816666666666666,77.83333333333333
hy_whisper_local_cs,,,
Qwen2-Audio-7B-Instruct,29.187525646286417,2.55,0.9666666666666667
whisper_large_v3,,,
old_models,,,
cascade_whisper_large_v2_gemma2_9b_cpt_sea_lionv3_instruct,24.640951990151827,26.016666666666666,7.633333333333334
gemini-1.5-flash,,,
WavLLM_fairseq,39.96717275338531,2.6833333333333336,0.23333333333333336
SALMONN_7B,34.222404595814524,2.5166666666666666,0.06666666666666667
cascade_whisper_large_v3_llama_3_8b_instruct,39.32704144439885,12.416666666666666,9.666666666666666
