Model,clotho_aqa_test,audiocaps_qa_test,wavcaps_qa_test
Qwen-Audio-Chat,61.934856587263,50.22364217252396,42.69736842105263
MERaLiON-AudioLLM-Whisper-SEA-LION,63.15021876519203,49.77635782747604,46.31578947368421
hy_whisper_local_cs,,,
Qwen2-Audio-7B-Instruct,50.919591292758774,45.75079872204473,44.473684210526315
whisper_large_v3,,,
old_models,,,
cascade_whisper_large_v2_gemma2_9b_cpt_sea_lionv3_instruct,24.647544968400585,18.466453674121407,18.88157894736842
gemini-1.5-flash,,,
WavLLM_fairseq,43.01199466903598,29.840255591054312,26.25
SALMONN_7B,57.75401069518716,50.287539936102235,47.30263157894737
cascade_whisper_large_v3_llama_3_8b_instruct,29.47134606841404,17.380191693290733,16.710526315789473
